,,Q1 ,Q2,,,,,,,Q3,,,,Q4,,,,,,,,,,,,,,,,Q5,Q6,Q7,,,,,,,,,,,,,,,,Q8,Q9,Q10,Q11
SV1,ESI36,X,1,,,,,,,non,ot,non,ot,,1,,1,1,,,,1,1,1,1,,,,,qqf,sv,,,,,,,,,,1,1,,,,,,js,1X,F,19
SV1,ESI37,papier,1,,,,,,,na,osp,na,na,,,,1,,,,,,1,,,,,,,js,sv,,,,,,,,,,,,,,,1,,NA,NA,H,22
SV1,ESI38,ordi,,,,,,1,,non,osp,non,ot,,,,,,,,,,,,,,1,,,js,1X,,,1,1,,,,,,,1,,,,,,tt,qqf,F,20
SV1,ESI39,papier,1,,,,,,,ot,ot,na,na,,,,1,,,1,1,1,,,1,,,,,js,sv,,,,,,,,,,,,,,,1,,NA,NA,F,20
SV1,ESI40,papier,,,,,,1,,non,non,non,non,,,,,,,,,,,,,,1,1,,NA,NA,,,,,,,,,,,,,,,1,,NA,NA,F,26
SV1,ESI41,papier,,,,,,1,,na,ot,na,osp,1,,,,,,,,,,,,,,,,1X,js,,,,,,,,,,,,,,1,,,NR,NR,NA,29
SV1,ESI42,papier,,,,,,1,,non,ot,non,non,,1,,1,,,,,,,,,,,,,qqf,qqf,,,,,,,,,,,,,,,1,,NA,NA,F,18
SV1,ESI43,ordi,1,,,,,,,non,ot,non,ot,,,,1,1,,,1,,,,,,,,,js,sv,,,1,,,,,,,,,,,,,,js,qqf,F,19
SV1,ESI44,papier,1,,,,,,,na,ot,na,ot,,,,,,,,,,,,,,,,1,nvp,nvp,,,,,,,,,,,,,,,,1,nvp,nvp,H,NA
SV1,ESI45,papier,1,,,,1,,,non,ot,non,non,,,,1,1,,,,,,,,,,,,qqf,qqf,,,,,,,,,,,,,,,1,,NA,NA,H,28
SV1,ESI46,papier,,,,,,1,,na,ot,na,na,,,,1,,,,,,1,,1,,,,,js,sv,,,,,,,,,,,,,,,1,,NA,NA,F,21
SV1,ESI47,papier,1,,,1,,,,osp,non,non,non,,,,,,,,,,,,,,1,,,js,js,,,,,,,,,,,,,,,1,,NA,NA,F,28
SV1,ESI48,papier,1,1,,,,,,osp,na,na,na,1,,,,,,,,,,,,,,,,1X,js,,,,,,,,,,,,,,,1,,NA,NA,F,38
SV1,ESI49,papier,1,,,,,,,na,na,na,na,,,,,,,,,,,,,,1,,,NR,js,,,,,,,,,,,,,,,1,,NA,NA,F,40
SV1,ESI50,papier,1,,,,,,,non,na,ot,non,,,,,,,,,,,,,,1,,,js,js,,,,1,,,,,,,,,,,,,qqf,qqf,H,31
SV1,ESI51,papier,1,,,,,,,non,non,non,non,,,,,,,,,,,,,,1,1,,NA,NA,,,,,,,,,,,,,,,1,,NA,NA,F,47
SV1,ESI52,papier,,,,,,1,,non,ot,non,non,,1,,1,,,,,,,,,,,,,js,sv,,,,,,,,,,,,,,,1,,NA,NA,F,20
SV1,ESI53,papier,,,,,,1,,na,ot,na,na,1,1,,1,,,,,,,,,,,,,js,sv,,,,,,,,,,,,,,,1,,NA,NA,H,21
SV1,ESI54,papier,1,,,,,,,na,osp,na,na,,,,,,,,,,,,,consSMS,,,,js,1X,,,,,,,,,,,,,,,1,,NA,NA,H,23
SV1,ESI55,papier,,,,,1,,qt_int,non,osp,non,non,,,,,,,,,,,,,,1,,,js,js,,,,,,,,,,,,,,,1,,NA,NA,H,44
SV1,ESI56,papier,1,,,,,,,non,ot,non,non,,,,1,,,,1,,1,,,,,,,js,sv,,,,,,,,,,,,,,,1,,NA,NA,F,19
SV1,ESI57,papier,1,,,,,,,non,ot,non,non,,,,1,1,,,1,,1,,1,,,,,js,sv,,,,,,,,,,,,,,,1,,NA,NA,F,20
SV1,ESI58,papier,1,,,,,,,na,ot,na,na,,,,1,1,,,,,,,,,,,,qqf,qqf,,,,,,,,,,,,,,,,1,NR,NR,F,26
SV1,ESI59,papier,,,,,,1,,non,ot,non,non,,,,1,,,,,1,,,,,,,,js,qqf,,,,,,,,,,,,,,,1,,NA,NA,F,22
SV1,ESI60,papier,1,1,,,,,,na,ot,na,na,1,1,,1,,,,,,,,1,,,,,qqf,sv,,,,,,,,,,,,,,,1,,NA,NA,F,21
SV1,ESI61,papier,1,,,,,,,non,ot,non,non,,,,1,1,,,,,,,1,,,,,js,qqf,,,,,,,,,,,,,,,1,,NA,NA,F,29
SV1,ESI62,papier,1,,,,,,,na,osp,na,na,1,,,1,,,,,,,,,,,,,qqf,1X,,,,,,,,,,,,,,,1,,NA,NA,H,26
SV1,ESI63,papier,1,,,,,,,non,ot,non,non,,1,,1,1,,,1,,1,,,,,,,js,sv,,,,,,,,,,,,,,,1,,NA,NA,F,19
SV1,ESI64,papier,,,,,1,,qt_int,non,ot,na,na,,,,1,,,,,,,,,reg-heure,,,,qqf,qqf,,,,,,,,,,,,,,1,,,nvp,nvp,F,25
SV1,ESI65,ordi,,,,,,1,,non,ot,ot,non,1,,,1,1,,,,,,1,1,,,,,qqf,qqf,,,,1,,,,,,,1,,,,,,qqf,qqf,F,18
SV1,ESI66,ordi,1,,,,,,,non,osp,ot,non,1,,,1,1,,,,,1,,,,,,,qqf,qqf,1,,,,,,,,,,,,,,,,tt,qqf,F,20
SV1,ESI67,ordi,1,,,,,,,non,ot,non,ot,,,,1,1,,,,,1,,,,,,,sv,sv,,,,,,,,,,,1,,,,,,tt,js,F,20
SV1,ESI68,papier,1,,,,,,,non,osp,non,non,1,,,1,,,,,,,,,,,,,1X,1X,,,,,,,,,,,,,,1,,,js,js,F,20
SV1,ESI69,papier,1,,,,,,,non,osp,non,non,,,,1,1,,,,,,,1,,,,,qqf,qqf,,,,,,,,,,,,,,,1,,NA,NA,F,19
SV1,ESI70,ordi,1,,,,,,,non,osp,ot,non,,,,1,1,,,,,,,1,,,,,js,1X,,,,1,,,,,,,1,1,,,,,tt,qqf,F,18
SV1,ESI71,papier,1,,,,,,,non,osp,non,non,,,,1,,,,,,,,1,,,,,js,1X,,,,,,,,,,,,,,,1,,NA,NA,H,20
SV1,ESI72,pas,1,,,,,,,non,osp,non,non,,,,1,1,,,,,,,1,,,,,js,qqf,,,,,,,,,,,,,,,1,,NA,NA,H,22
SV1,ESI73,ordi,,1,,,,,,non,ot,non,ot,1,,,1,,,,,,,,,,,,,qqf,qqf,1,,,,,,,,,,,,,,,,qqf,js,F,23
SV1,ESI74,papier,1,1,,,,,,non,ot,non,non,1,1,,1,1,,,,,,,1,,,,,qqf,qqf,,,,,,,,,,,,,,,1,,NA,NA,F,23
SV1,ESI75,pas,,,,1,,,,non,ot,osp,ot,,1,1,1,,1,,1,1,,1,,,,,,nvp,nvp,,,,,,,,,,,,,,,,1,nvp,nvp,H,19
SV1,ESI76,papier,1,,,,,,,osp,non,non,non,,,,1,,,,,,,,,,,,,js,sv,,,,,,,,,,,,,,,1,,NA,NA,F,22
SV1,ESI77,papier,1,,,1,,,,non,non,non,non,,,,,,,,,,,,,,,1,,NA,NA,,,,,,,,,,,,,,,1,,NA,NA,H,36
SV1,ESI78,papier,1,,,,,,,osp,non,non,non,,,,,,,,,,,,,,1,,,js,js,,,,,,,,,,,,,,,1,,NA,NA,F,20
SV1,ESI79,papier,,,,,,1,,non,osp,non,non,,,,,,,,,,,,,reg-heure,,,,js,1X,,,,,,,,,,,,,,,1,,NA,NA,F,19
HUS1,ESI1,ordi,,,,,,1,,non,ot,non,ot,,1,,1,,,,,,,,1,,,,,js,qqf,,,,,,,,,,,1,,,,,,tt,js,H,23
HUS1,ESI2,papier,1,,,1,,,,osp,non,non,non,,,,1,,,,,,,,1,,,,,js,1X,,,,,,,,,,,,,,,1,,NA,NA,F,18
HUS1,ESI3,ordi,1,,,1,,,,non,ot,non,ot,,1,,1,,,,,,,,,,,,,qqf,qqf,,,,,,,,,,,1,,,,,,tt,js,F,19
HUS1,ESI4,ordi,,,,1,,,,osp,non,non,ot,1,,,1,,,,,,,,1,,,,,1X,qqf,,,,,,,,,,,,,notercours,,,,tt,js,F,19
HUS1,ESI5,papier,1,,,,,,,non,osp,non,non,,,,,,,,,,,,,,1,,,js,js,,,,,,,,,,,,,,,1,,NA,NA,H,41
HUS1,ESI6,papier,,1,,1,,,,non,non,non,non,,,,,,,,,,,,,,1,1,,NA,NA,,,,,,,,,,,,,,1,1,,NA,NA,F,40
HUS1,ESI7,papier,1,,,,,,,non,osp,non,osp,,,,,,,,,,,,,,1,,,js,js,,,,,,,,,,,,,,,1,,NA,NA,F,35
HUS1,ESI8,ordi,1,,,,,,,osp,osp,non,ot,,,,,,,,,,,,,,1,,,js,js,,,,,,,,,,,1,,,,,,tt,1X,F,21
HUS1,ESI9,papier,1,,,1,1,,qt_int,non,osp,non,non,,,,,,,,,,,,,reg-heure,,,,js,1X,,,,,,,,,,,,,,,1,,NA,NA,F,25
HUS1,ESI10,papier,1,,,1,,,,non,osp,non,non,,,,,,,,,,,,,,1,,,js,js,,,,,,,,,,,,,,,1,,NA,NA,H,29
HUS1,ESI11,ordi,1,1,,,,,,non,ot,non,ot,1,,,1,,,,,,,,,,,,,qqf,qqf,,,,,,,,,,,,,notercours,,,,js,js,F,21
HUS1,ESI12,papier,,,,,1,,qt_int,osp,osp,non,non,,,,,,,,,,,,,,1,,,NR,NR,,,,,,,,,,,,,,1,1,,NA,NA,F,23
HUS1,ESI13,ordi,1,,,,,,,na,ot,na,ot,,,,1,,,,,,,,,,,,,js,tt,,,,,,,,,,,1,,,,,,tt,js,F,20
HUS1,ESI14,X,,,,1,,,,non,osp,non,ot,,,,,1,,,,,,,1,,,,,qqf,1X,,,,,,,,,,,1,,,,,,tt,js,F,20
HUS1,ESI15,papier,1,,,1,,,,na,osp,na,na,,,,,,,,,,,,,,1,,,js,js,,,,,,,,,,,,,,,1,,NA,NA,F,45
HUS1,ESI16,papier,1,,,,,,,osp,non,non,non,,,,,,,,,,,,,,1,,,NR,NR,,,,,,,,,,,,,,,1,,NA,NA,F,37
HUS1,ESI17,papier,,1,,,1,,qt_int,osp,non,non,non,,,,,,,,,,,,,,,1,,js,js,,,,,,,,,,,,,,,1,,NA,NA,F,24
HUS1,ESI18,papier,,1,,1,,,,na,osp,na,na,1,,,1,1,,,,,1,,,,,,,qqf,qqf,,,,,,,,,,,,,,,1,,NA,NA,H,20
HUS1,ESI19,papier,,,,,,1,,non,non,non,non,,,,,,,,,,,,,,1,1,,NA,NA,,,,,,,,,,,,,,,1,,NA,NA,F,31
HUS1,ESI20,papier,1,,,1,,,,na,osp,na,na,,,,1,1,,,,,,,,,,,,qqf,qqf,,,,,,,1,,,,1,,,,1,,NA,NA,F,18
HUS1,ESI21,ordi,1,1,,,,,,non,ot,non,ot,1,,,,,,,,,,,,,,,,1X,qqf,,,,,,,,,,,1,,,,,,1X,qqf,F,25
HUS1,ESI22,ordi,1,,,,,,,ot,na,na,ot,,,,1,1,,,,,,,,,,,,js,qqf,,,,,,,,,,,1,,,,,,tt,js,F,20
HUS1,ESI23,ordi,1,,,,,,,na,ot,na,ot,,,,1,,,,,,1,,,claroline,,,,sv,sv,,,,,,,,,,1,1,,,,,,tt,1X,F,20
HUS1,ESI24,ordi,1,,,,,,,non,ot,non,ot,,,,1,,,,,,,,1,,,,,qqf,qqf,,,,,,,,,,,1,,,,,,tt,js,F,20
HUS1,ESI25,X,1,,,,,,,na,ot,na,ot,,,,1,1,,,,1,,,,,,,,NR,qqf,,,,,,,,,,,1,,,,,,tt,js,F,22
HUS1,ESI26,ordi,,,,,,1,,na,na,ot,na,,,,,,,,,,,,,,1,,,js,1X,,,,,,,,,,,1,,,,,,js,1X,F,26
HUS1,ESI27,papier,1,,,,,,,na,osp,non,osp,,,,,,,,,,,,,,1,,,js,js,,,,,,,,,,,,,,1,,,js,js,F,22
HUS1,ESI28,papier,1,,,,,,,na,osp,non,non,,,,,,,,,,,,,,1,,,js,js,,,,,,,,,,,,,,1,1,,NA,NA,F,20
HUS1,ESI29,papier,1,,,,,,,na,ot,non,non,,,,1,,,,,,,,1,,,,,js,qqf,,,,,,,,,,,,,,,1,,NA,NA,F,19
HUS1,ESI30,papier,1,,,,,,,non,ot,non,non,,,,1,1,,,,,1,,,,,,,js,qqf,,,,,,,,,,,,,,,1,,NA,NA,F,21
HUS1,ESI31,papier,1,,,,,,,non,ot,non,non,,,,1,1,,,,,,,,,,,,qqf,qqf,,,,,,,,,,,,,,,1,,NA,NA,F,20
HUS1,ESI32,papier,,,,1,,,,non,osp,non,non,,,,,,,,,,,,,,1,,,NR,NR,,,,,,,,,,,,,,1,1,,NA,NA,F,21
HUS1,ESI33,papier,,,,1,,,,osp,osp,non,non,,,,,,,,,,,,1,,,,,js,1X,,,,,,,,,,,,,,,1,,NA,NA,F,19
HUS1,ESI34,ordi,1,,,1,,,,non,osp,non,ot,,,,,,,,,,,,,,1,,,js,js,,,,,,,,,,,1,,,,,,tt,js,H,20
HUS1,ESI35,ordi,,,,,,1,,na,osp,osp,ot,,,,1,1,,,,,1,,,,,,,js,qqf,,,,,,,,,,,,,,,,1,tt,js,F,19
HUS1,ESI36,ordi,1,,,,,,,osp,osp,non,ot,,,,1,,,,1,,,,,,,,,qqf,1X,,,,,,,,,,,,,,1,,,1X,1X,F,22
HUS1,ESI37,papier,1,,,,,,,non,non,non,non,,,,,,,,,,1,,,,,,,NA,NA,,,,,,,,,,,,,,,1,,NA,NA,H,19
HUS1,ESI38,ordi,1,,,1,,,,ot,ot,na,ot,,,,,,,,,,,,,,1,1,,NA,NA,,,,,,,,,,,1,,,,,,tt,js,F,19
HUS1,ESI39,ordi,1,,,1,,,,na,ot,na,ot,1,,,1,1,,,1,,,,1,,,,,1X,qqf,,,,,,,,,,,1,,,,,,tt,js,F,18
HUS1,ESI40,papier,1,,,1,,,,non,osp,non,non,,,,,,,,,,,,1,,,,,js,js,,,,,,,,,,,,,,,1,,NA,NA,F,18
HUS1,ESI41,papier,1,,,,,,,non,osp,non,non,,,,1,,,,,,,,,,,,,js,1X,,,,,,,,,,,,,,1,1,,NA,NA,F,18
HUS1,ESI42,papier,1,,,1,,,,non,osp,non,osp,,,,,,,,,,,,,,1,,,NR,NR,,,,,,,,,,,,,,1,1,,NA,NA,F,19
HUS1,ESI43,ordi,1,,,,,,,osp,na,na,ot,1,1,,,,,,,,,,,,,,,js,js,,,,,,,,,,,,,,1,,,js,js,F,33
HUS1,ESI44,papier,,,,1,,,,non,osp,non,non,,,,,,,,,,,,,,1,,,js,1X,,,,,,,,,,,,,,,1,,NA,NA,F,19
HUS1,ESI45,papier,1,,,1,,,,ot,non,non,non,,,,1,,,,,,,,,reg-heure,,,,jnsp,qqf,,,,,,,,,,,,,,,1,,NA,NA,F,20
HUS1,ESI46,papier,1,,,,,,,osp,osp,non,non,,,,,,,,,,,,,,1,,,js,js,,,,,,,,,,,,,,,1,,NA,NA,F,20
HUS1,ESI47,papier,1,,,,,,,non,ot,non,non,,1,,1,1,,,,,1,,,,,,,js,sv,,,,,,,,,,,,,,1,,,js,js,F,19
HUS1,ESI48,papier,,,,,,1,,non,non,non,non,,,,,,,,,,,,,,1,1,,NA,NA,,,,,,,,,,,,,,1,1,,NA,NA,F,18
HUS1,ESI49,papier,1,,,,,,,osp,na,na,na,,,1,1,1,,,1,,,,,,,,,js,qqf,,,,,,,,,,,,,,1,1,,NA,NA,F,21
HUS1,ESI50,papier,,,1,,,,,ot,ot,non,non,,,,1,1,,,1,,,,1,,,,,qqf,qqf,,,,,,,,,,,,,,,1,,NA,NA,F,22
HUS1,ESI51,papier,1,,,,,,,non,osp,non,non,,,,,,,,,,,,,,1,,,js,js,,,,,,,,,,,,,,,1,,NA,NA,F,20
HUS1,ESI52,papier,1,,,,,,,na,osp,na,na,,,,1,1,,,,,,,,,,,,NR,NR,,,,,,,,,,,,,,,1,,NA,NA,F,45
HUS1,ESI53,papier,,,,,,1,,non,osp,non,non,,,,,,,,,,,,,,1,,,NR,NR,,,,,,,,,,,,,,,1,,NA,NA,F,41
HUS1,ESI54,papier,1,,,1,,,,non,osp,non,non,,,,,,,,,,,,,,1,,,NR,NR,,,,,,,,,,,,,,,1,,NA,NA,F,29
HUS1,ESI55,papier,,,,,,1,,non,ot,non,non,,,,,,,,,,,,1,,,,,js,qqf,,,,,,,,,,,,,,,1,,NA,NA,F,18
HUS1,ESI56,ordi,1,,,,,,,na,ot,non,ot,,,,1,1,,,,,,,1,,,,,js,qqf,,,,,,,,,,,1,,,,,,tt,js,F,21
HUS1,ESI57,papier,,,,1,,,,non,non,non,non,,,,,,,,,,,,,,1,,,js,1X,,,,,,,,,,,,,,1,1,,NA,NA,F,23
HUS1,ESI58,papier,1,,,,1,,qt_int,non,non,non,non,,,,,,,,,,,,,,1,,,js,js,,,,,,,,,,,,,,,1,,NA,NA,F,29
HUS1,ESI59,pas,,,,1,,,,non,ot,non,ot,1,,,1,1,,,,,,,,,,,,qqf,sv,,,,,,,,,,1,,,,,,,qqf,qqf,H,22
HUS1,ESI60,papier,1,,,,,,,non,ot,non,non,,,,1,1,,,,,,,1,,,,,js,qqf,,,,,,,,,,,,,,,1,,NA,NA,F,20
HUS1,ESI61,ordi,,,,,,1,,na,osp,na,ot,,,,,,,,,,,,,,1,,1,NA,NA,,,,,,,,,,,1,,,,,,tt,js,F,20
HUS1,ESI62,papier,,,,,,1,,na,ot,na,na,1,,,1,1,,,1,,,,,,,,,sv,nvp,,,,,,,,,,,,,,1,1,,NA,NA,F,21
HUS1,ESI63,papier,,1,,1,,,,non,non,non,non,,,,,,,,,,,,,,,1,,NA,NA,,,,,,,,,,,,,,,1,,NA,NA,H,40
HUS1,ESI64,papier,1,,,,,,,non,ot,non,non,,,,1,1,,,,,,,,,,,,js,qqf,,,,,,,,,,,,,,,1,,NA,NA,F,19
HUS1,ESI65,papier,1,,,,,,,na,ot,na,na,,,,1,,,,,,,,,,,,,js,qqf,,,,,,,,,,,,,,,1,,NA,NA,F,19
HUS1,ESI66,papier,1,,,,,,,osp,non,non,non,,,,,,,,,,,,,,1,,,NR,NR,,,,,,,,,,,,,,,1,,NA,NA,H,22
HUS1,ESI67,papier,1,,,,,,,osp,osp,non,non,,,,,,,,,,,,,,1,,,NR,NR,,,,,,,,,,,,,,1,1,,NA,NA,H,22
HUS1,ESI68,papier,,,,1,,,,na,na,na,na,,,,,,,,,,,,,,,1,,NA,NA,,,,,,,,,,,,,,,1,,NA,NA,H,30
HUS1,ESI69,papier,1,,,1,,,,na,osp,na,na,,,,,,,,,,,,,,1,,,js,js,,,,,,,,,,,,,,,1,,NA,NA,F,36
HUS1,ESI70,papier,,,,,,1,,non,osp,non,non,,,,,,,,,,,,,,1,,,js,js,,,,,,,,,,,,,,1,1,,NA,NA,F,20
HUS1,ESI71,papier,1,,,,,,,na,osp,non,non,,,,,,,,,,,,,,1,,,js,js,,,,,,,,,,,,,,1,1,,NA,NA,F,25
HUS1,ESI72,pas,,,,,,1,,ot,ot,non,non,,,,1,1,,,1,,1,,,,,,,sv,sv,,,,,,,1,,1,,,,,,,,js,1X,H,33
HUS1,ESI73,papier,,,,1,,,,ot,ot,na,na,,,,1,,,,1,,,,,,,,,qqf,qqf,,,,,,,,,,,,,,,1,,NA,NA,F,34
HUS1,ESI74,papier,1,,,1,,,,non,osp,non,non,,,,,,,,,,,,,,1,,,js,js,,,,,,,,,,,,,,,1,,NA,NA,F,21
HUS1,ESI75,papier,1,,,,,,,osp,non,non,non,,,,1,,,,,,,,,,,,,js,js,,,,,,,,,,,,,,,1,,NA,NA,F,20
HUS1,ESI76,papier,1,,,1,,,,non,ot,non,non,1,1,,1,,,,,,,,1,,,,,qqf,qqf,,,,,,,,,,,,,,,1,,NA,NA,H,19
HUS1,ESI77,ordi,1,,,,,,,non,ot,non,ot,,1,,1,,,,1,1,,,1,,,,,js,sv,,,,,,,,,,,,,,,1,,js,js,H,19
HUS1,ESI78,ordi,,,,1,,,,non,osp,non,ot,,,,,,,,,,,,,,1,,,NR,NR,,,,,,,,,,,1,,,,,,js,js,F,19
HUS1,ESI79,papier,1,,,,,,,non,osp,non,non,1,,,,,,,,,,,,reg-heure,,,,1X,qqf,,,,,,,,,,,,,,1,1,,NA,NA,F,19
HUS1,ESI80,papier,1,,,,,,,non,osp,non,non,,,,,,,,,,,,,,1,,,js,js,,,,,,,,,,,,,,,1,,NA,NA,F,19
HUS1,ESI81,ordi,,,,,,1,,osp,osp,non,ot,,,,1,1,,,,,,,,,,,,qqf,qqf,,,,,,,,,,,1,,,,,,tt,js,H,19
HUS1,ESI82,papier,1,,,1,,,,non,ot,non,non,,,,1,,,,,,,,1,,,,,js,sv,,,,,,,,,,,,,,,1,,NA,NA,H,21
HUS1,ESI83,ordi,1,,,,,,,non,ot,non,ot,,,,1,,,,,1,,,1,,,,,1X,sv,,,,,,,,,,,1,,,,,,tt,js,F,18
HUS1,ESI84,ordi,1,,,1,,,,na,ot,ot,na,,,,1,,,,,,,,1,,,,,qqf,qqf,,,,,,,,,,,1,,,,,,tt,js,F,20
HUS1,ESI85,ordi,1,,,1,,,,na,osp,osp,ot,,,,,,,,,,,,,,1,,,NR,NR,,,,,,,,,,,1,,,,,,tt,1X,F,18
